model,best_condition,composite_score,use_case_recall,path_fidelity,unsupported_feature_rate,elapsed_sec
gemma3:4b,full_selected_context,40.20693946742641,0.44912367044719986,0.12483540764790764,0.43189484126984123,19.9128125
granite3.2-vision:latest,readme_only,19.87165397677025,0.13611694677871147,0.03125,0.5241815476190477,5.644875
llama3.2-vision:11b,readme_plus_code,42.86790608594357,0.36884249329102275,0.23728385040885047,0.31011904761904757,32.557750000000006
llama3.2:3b,readme_only,27.77558739740636,0.3050432716793011,0.03627232142857143,0.46597222222222223,5.5880624999999995
qwen2.5-coder:1.5b,routes_controllers,29.584984257357927,0.24864186059039,0.10915178571428572,0.4453869047619048,4.62
qwen2.5-coder:14b,full_selected_context,48.06503574313248,0.5067378699731641,0.2867041589363018,0.31629464285714287,54.343999999999994
qwen2.5-coder:3b,readme_plus_code,37.33351707622914,0.3977895266498208,0.22211737914862914,0.4674851190476191,13.3895
qwen2.5-coder:7b,full_selected_context,38.25726195401955,0.4619655161015455,0.20948251649144511,0.3515625,27.964000000000002
qwen2.5:3b,readme_plus_tree,37.783334076052874,0.43011039205892143,0.05829482645330859,0.3859375,8.509375
qwen2.5vl:3b,full_selected_context,29.891237288043452,0.2952495421245421,0.15344742063492062,0.32361111111111107,26.558375
