model,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
deepseek-coder:6.7b,file_tree_only,6,0.5,0.1111111111111111,0.05555555555555555,0.0,0.05000000000000001,0.8958333333333334,11.225999999999999,5.958333333333333,4180.333333333333,2.1666666666666665
deepseek-coder:6.7b,full_selected_context,6,0.3333333333333333,0.15277777777777776,0.027777777777777776,0.0,0.03763440860215054,0.9166666666666666,43.16883333333334,5.42562724014337,49351.666666666664,0.6666666666666666
deepseek-coder:6.7b,oracle_upper_bound,6,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.040740740740740744,0.031680605336519306,0.875,39.944833333333335,6.290023894862603,50469.333333333336,0.6666666666666666
deepseek-coder:6.7b,random_code_same_budget,6,0.8333333333333334,0.40277777777777773,0.13888888888888887,0.0,0.07315083290693046,0.611111111111111,27.813666666666666,17.90281804915951,34309.166666666664,2.1666666666666665
deepseek-coder:6.7b,readme_only,6,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.028306878306878305,0.08775900934362911,0.6666666666666666,13.899666666666667,17.715856039625336,7589.0,2.6666666666666665
deepseek-coder:6.7b,readme_plus_code,6,0.5,0.3194444444444444,0.0,0.0,0.0,1.0,29.834,6.388888888888889,42280.166666666664,1.0
qwen2.5-coder:7b,file_tree_only,6,0.8333333333333334,0.34722222222222227,0.38888888888888884,0.04113756613756613,0.08597336954233507,0.7083333333333334,25.381833333333333,25.58457408810857,4180.333333333333,6.666666666666667
qwen2.5-coder:7b,full_selected_context,6,1.0,0.34722222222222227,0.44444444444444436,0.10813492063492063,0.1850262970679073,0.6666666666666666,51.1655,30.77142620205036,49351.666666666664,8.0
qwen2.5-coder:7b,oracle_upper_bound,6,1.0,0.34722222222222227,0.5,0.25966931216931216,0.1951883547062565,0.625,48.867,36.31565600842454,50469.333333333336,8.0
qwen2.5-coder:7b,random_code_same_budget,6,1.0,0.34722222222222227,0.25,0.05138888888888888,0.11525310234060697,0.6041666666666666,33.702999999999996,22.409352090664658,34309.166666666664,5.666666666666667
qwen2.5-coder:7b,readme_only,6,1.0,0.34722222222222227,0.4166666666666667,0.04126984126984127,0.11642597403513989,0.6875,29.43016666666667,27.2245642137017,7589.0,8.0
qwen2.5-coder:7b,readme_plus_code,6,1.0,0.34722222222222227,0.4444444444444444,0.07834656084656084,0.16069422611928993,0.6666666666666666,48.72549999999999,29.8106779420539,42280.166666666664,8.0
qwen2.5:3b,file_tree_only,6,1.0,0.4861111111111111,0.25,0.03333333333333333,0.14968322565888756,0.75,7.540833333333333,23.8841372737722,4180.333333333333,7.0
qwen2.5:3b,full_selected_context,6,1.0,0.4861111111111111,0.2777777777777778,0.07817460317460316,0.12857074686306239,0.7958333333333334,18.00733333333333,24.97816437754911,49351.666666666664,8.333333333333334
qwen2.5:3b,oracle_upper_bound,6,0.8333333333333334,0.375,0.4166666666666667,0.17056878306878306,0.1283303362922086,0.6875,19.308333333333334,30.54466403909213,50469.333333333336,6.666666666666667
qwen2.5:3b,random_code_same_budget,6,1.0,0.4861111111111111,0.25,0.037037037037037035,0.13956212441764557,0.7708333333333334,13.485833333333332,23.598061495894314,34309.166666666664,6.833333333333333
qwen2.5:3b,readme_only,6,1.0,0.40277777777777773,0.4166666666666666,0.02962962962962963,0.14738135595577662,0.6875,7.866666666666666,28.56720182081813,7589.0,8.0
qwen2.5:3b,readme_plus_code,6,1.0,0.5694444444444444,0.19444444444444442,0.03306878306878307,0.10285428762131271,0.8541666666666666,15.883166666666668,21.85696775347313,42280.166666666664,8.0
