match_threshold,condition,rows,parse_ok,use_case_recall,path_fidelity,unsupported_feature_rate,composite_score
0.2,file_tree_only,96,1.0,0.4408775864658219,0.04600829144262924,0.2835152116402116,33.5066550922508
0.2,full_selected_context,96,0.90625,0.45975274725274723,0.10928060544504002,0.32649806790431785,36.22985605048789
0.2,oracle_upper_bound,96,0.90625,0.450646733780925,0.13309899546413684,0.315224041005291,35.62117550728725
0.2,random_code_same_budget,96,0.9270833333333334,0.45558038264839734,0.10049572709449946,0.3026744378306878,34.11731016152195
0.2,readme_only,96,0.9479166666666666,0.4504801877044522,0.025530764704871842,0.24416749338624336,36.88859171551453
0.2,readme_plus_code,96,0.8958333333333334,0.4716541628306334,0.09494928021713735,0.30623759920634924,36.31019549360946
0.24,file_tree_only,96,1.0,0.357382190929985,0.04820276800745551,0.4347800925925926,29.19931941033644
0.24,full_selected_context,96,0.90625,0.4084247298861268,0.10633860841264113,0.42120642667517666,33.49020151335474
0.24,oracle_upper_bound,96,0.90625,0.4108055955482426,0.13660270058149518,0.3910920965608466,33.62921787133056
0.24,random_code_same_budget,96,0.9270833333333334,0.39800526271114506,0.10756882619419822,0.3991691468253968,31.349479914813756
0.24,readme_only,96,0.9479166666666666,0.39114696067821053,0.024753393308080806,0.34348544973544975,33.84128029176995
0.24,readme_plus_code,96,0.8958333333333334,0.42015227419639184,0.09962126043599258,0.39360119047619063,33.77729008873629
0.28,file_tree_only,96,1.0,0.24915828146526667,0.04940369719015552,0.6055638227513228,23.821879739170367
0.28,full_selected_context,96,0.90625,0.3198758400504724,0.1091092293398841,0.5460653640341141,29.281448398113966
0.28,oracle_upper_bound,96,0.90625,0.3274353301926831,0.13836641106358363,0.5062045304232804,29.71222242690818
0.28,random_code_same_budget,96,0.9270833333333334,0.29498095348279163,0.11194733796296297,0.5509135251322751,26.447454836270975
0.28,readme_only,96,0.9479166666666666,0.2954277544351073,0.02551351095993953,0.5103257275132275,28.9499733401578
0.28,readme_plus_code,96,0.8958333333333334,0.3243191755140285,0.11038617869812066,0.5401289682539684,29.287800520274526
0.32,file_tree_only,96,1.0,0.24161063099482208,0.04834962972983806,0.6258184523809525,23.208065338159006
0.32,full_selected_context,96,0.90625,0.3079305804489628,0.11470553841275562,0.5760422158859659,28.64166873402654
0.32,oracle_upper_bound,96,0.90625,0.30674438918924213,0.1350193348593646,0.538363921957672,28.473868878667236
0.32,random_code_same_budget,96,0.9270833333333334,0.2868129062522445,0.10764737215909093,0.5604621362433863,25.950870586790344
0.32,readme_only,96,0.9479166666666666,0.2844599130444719,0.023777399848828415,0.5359333664021165,28.21986390451634
0.32,readme_plus_code,96,0.8958333333333334,0.31449011568496865,0.11107534654223643,0.554061259920635,28.813205274523852
0.36,file_tree_only,96,1.0,0.14425178069479538,0.049195232333253174,0.7813326719576721,18.16688117015345
0.36,full_selected_context,96,0.90625,0.24224990695578932,0.11242487275318373,0.663798498954749,25.51309130241458
0.36,oracle_upper_bound,96,0.90625,0.2523622262133292,0.13825913346188642,0.6121734457671958,26.011798451723276
0.36,random_code_same_budget,96,0.9270833333333334,0.22531364162797987,0.11579071030242903,0.6507357804232804,23.104981492896098
0.36,readme_only,96,0.9479166666666666,0.19871835170548405,0.025563897907647907,0.66661292989418,24.01803785458752
0.36,readme_plus_code,96,0.8958333333333334,0.23444779281176342,0.10920149267619506,0.6608940972222221,24.938285186666462
0.4,file_tree_only,96,1.0,0.14164761402812873,0.04832717677769761,0.7828207671957673,18.03008181499472
0.4,full_selected_context,96,0.90625,0.23701295640633877,0.11034939325582925,0.6710901656214157,25.16303677148396
0.4,oracle_upper_bound,96,0.90625,0.2420199643085673,0.13424869800613848,0.6230241402116402,25.385584232326
0.4,random_code_same_budget,96,0.9270833333333334,0.22208943527877353,0.11664636506433379,0.6568121693121693,22.904070263677756
0.4,readme_only,96,0.9479166666666666,0.1952339888461212,0.02452223124098124,0.6774636243386244,23.722574399343866
0.4,readme_plus_code,96,0.8958333333333334,0.22995488988136048,0.11108227971323209,0.6676649305555555,24.731756311602712
