condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
bm25_retrieved_code,48,0.9166666666666666,0.4583333333333334,0.35030306703100816,0.12663863335738337,0.1270664502412193,0.5411510942760943,16.682645833333336,30.45453249075696,35167.8125,6.416666666666667
file_tree_only,48,1.0,0.4065972222222221,0.26243141050126345,0.055218604697771366,0.1055176340508775,0.6552827380952381,7.660125,23.451353035754874,1817.0625,6.8125
full_selected_context,48,0.9791666666666666,0.5368055555555556,0.362579373241138,0.14922387941919193,0.12743212532260167,0.5050595238095239,15.299062500000003,33.27175340467856,33163.5625,6.833333333333333
models_services,48,1.0,0.46562499999999996,0.28193755794858727,0.1006468490173847,0.11377318099230516,0.6267691798941799,10.862270833333332,26.63215742449103,16850.1875,6.708333333333333
oracle_upper_bound,48,1.0,0.5246527777777779,0.394160771826213,0.18178743930232025,0.13658458001206572,0.41364914021164023,15.810291666666666,35.836708653584004,35080.75,6.604166666666667
random_code_same_budget,48,1.0,0.43263888888888896,0.3307498057498057,0.13920856631794132,0.12775884801553467,0.5584242724867724,13.385979166666665,29.3453323007451,25254.4375,6.875
readme_only,48,1.0,0.6541666666666667,0.29224636678680804,0.015612974987974986,0.11387542960969706,0.5497767857142858,7.586895833333334,29.83457925763371,3490.4375,6.354166666666667
readme_plus_code,48,0.9583333333333334,0.5506944444444445,0.3725575078516255,0.15723875124544767,0.13324306117330473,0.49414682539682536,13.937020833333337,34.255354352236054,28448.0,6.791666666666667
readme_plus_tree,48,1.0,0.5958333333333335,0.3244256254366549,0.06802458041297328,0.12132594196839996,0.5123511904761905,8.457,31.32843238997315,5309.5,6.5625
routes_controllers,48,0.9583333333333334,0.3934027777777777,0.2710597205082499,0.13632478054353056,0.123547072686418,0.6045386904761905,10.316333333333334,25.88946056974928,17247.625,5.8125
