repo,condition,model,pred_index,category,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage
4jean__lav_sms,file_tree_only,deepseek-v4-pro,3,actor_scope_error,Admin,View dashboard,An administrative user views the main dashboard with summary information.,app/Http/Controllers/HomeController.php | resources/views/pages/admin/dashboard.blade.php,View children,0.3333,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,4,actor_scope_error,Super Admin,Configure system settings,Super administrator updates global school system settings.,app/Http/Controllers/SuperAdmin/SettingController.php | resources/views/pages/super_admin/settings.blade.php,Update own account,0.0938,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,0,actor_scope_error,User,Create Student,Register a new student in the database by providing personal details.,src/main/java/studentdbms/controller/StudentController.java | src/main/java/studentdbms/entity/Student.java | src/main/java/studentdbms/service/StudentService.java | src/main/java/studentdbms/repository/StudentReposit...,Manage student records,0.25,
abdulwahid880__School-Management-system-in-laravel-,full_selected_context,deepseek-v4-pro,0,code_context_overgeneralization,Master,Create School,A Master registers a new school in the system by providing a name and medium of instruction.,resources/views/schools/form.blade.php,Register school users,0.25,
abdulwahid880__School-Management-system-in-laravel-,full_selected_context,deepseek-v4-pro,3,code_context_overgeneralization,Master,Assign Course,"A Master assigns a new course to a section, selecting course name, teacher, and department.",resources/views/layouts/master/add-course-form.blade.php,Manage schools,0.175,
abdulwahid880__School-Management-system-in-laravel-,full_selected_context,deepseek-v4-pro,7,code_context_overgeneralization,Admin,Create Exam,"An Admin schedules a new exam by defining term, exam name, and start/end dates.",resources/views/components/add-exam-form.blade.php,Manage exams,0.2,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,0,framework_or_boilerplate_noise,User,Register account,A new user creates an account to access the school management system.,app/Http/Controllers/Auth/RegisterController.php | resources/views/auth/register.blade.php,Update own account,0.25,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,1,framework_or_boilerplate_noise,User,Log in,A registered user authenticates into the system.,app/Http/Controllers/Auth/LoginController.php | resources/views/auth/login.blade.php,Update own account,0.1909,
4jean__lav_sms,file_tree_only,deepseek-v4-pro,2,framework_or_boilerplate_noise,User,Reset password,A user recovers access by resetting a forgotten password.,app/Http/Controllers/Auth/ForgotPasswordController.php | app/Http/Controllers/Auth/ResetPasswordController.php | resources/views/auth/passwords/email.blade.php | resources/views/auth/passwords/reset.blade.php,Update own account,0.1645,
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,7,implementation_level_goal,Admin,Manage platform content,"Admin uses the Django admin interface to manage users, courses, quizzes, and payments.",accounts/admin.py | course/admin.py | quiz/admin.py | payments/admin.py | result/admin.py | search/admin.py,Manage semesters,0.25,
mwinamijr__django-scms,file_tree_only,deepseek-v4-pro,4,implementation_level_goal,Teacher,Create assignment,"A teacher creates an assignment, attaches instructions or files, and assigns it to one or more classes.",assignments/views.py | api/assignments/urls.py,Record attendance,0.1465,
mwinamijr__django-scms,file_tree_only,deepseek-v4-pro,6,implementation_level_goal,Administrator,Publish announcement,An administrator creates and publishes school-wide announcements or news posts visible to all users.,blog/views.py | api/blog/urls.py,Manage academic calendar events,0.0784,
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,deepseek-v4-pro,2,matched_goal_actor_label_drift,User,Add Course,"Create a new course offering, such as a class or subject, in the system.",src/main/java/studentdbms/controller/CourseController.java | src/main/java/studentdbms/entity/Course.java | src/main/java/studentdbms/service/CourseService.java,Add course to student,0.6667,0.1429
JacksonGao1999__StudentManagement,file_tree_only,deepseek-v4-pro,1,matched_goal_actor_label_drift,User,Add Student,User adds a new student record by filling a form.,student-crud/src/main/resources/mapper/StudentMapper.xml | student-crud/src/main/webapp/WEB-INF/dispatcherServlet-servlet.xml,Create student,0.3333,0.2
JacksonGao1999__StudentManagement,file_tree_only,deepseek-v4-pro,2,matched_goal_actor_label_drift,User,Update Student,User edits an existing student's information.,student-crud/src/main/resources/mapper/StudentMapper.xml | student-crud/src/main/webapp/WEB-INF/dispatcherServlet-servlet.xml,View and update student,0.5,0.2
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Student,Search courses,User searches for courses by keyword and filters results.,search/views.py | search/urls.py | search/models.py,Manage courses,0.3727,0.0
adityagoyal222__django-lms,file_tree_only,deepseek-v4-pro,5,matched_goal_missing_or_wrong_path,Instructor,Create Assignment,"Define a new assignment for a course, including instructions and deadline.",assignments/views.py | assignments/forms.py | assignments/admin.py,Create course,1.0,0.0
jobic10__student-management-using-django,file_tree_only,deepseek-v4-pro,1,matched_goal_missing_or_wrong_path,Staff,Manage Students,Staff can view and manage student details relevant to their role.,main_app/staff_views.py,Manage students,1.0,0.0
4jean__lav_sms,file_tree_only,deepseek-v4-pro,5,matched_supported_goal,Support Team,Manage student records,"Support team creates, updates, and maintains student enrollment and profile data.",app/Http/Controllers/SupportTeam/StudentRecordController.php | resources/views/pages/support_team/students,Manage student records,1.0,0.2
4jean__lav_sms,file_tree_only,deepseek-v4-pro,6,matched_supported_goal,Support Team,Record exam marks,Support team enters and edits student marks for exams.,app/Http/Controllers/SupportTeam/MarkController.php | resources/views/pages/support_team/marks,Manage marks,0.4333,0.25
4jean__lav_sms,file_tree_only,deepseek-v4-pro,7,matched_supported_goal,Parent,View child academic info,A parent monitors a child's school information and performance.,app/Http/Controllers/MyParent/MyController.php | resources/views/pages/parent/children.blade.php,View children,0.42,0.25
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,1,near_miss_or_partial_workflow,Student,Browse and enroll in course,"Student searches or browses available courses and enrolls, possibly through a payment step.",course/views.py | course/urls.py | payments/views.py | search/views.py,Pay through payment gateway,0.2277,
abdulwahid880__School-Management-system-in-laravel-,file_tree_only,deepseek-v4-pro,6,near_miss_or_partial_workflow,Admin,Publish Notices,An administrator publishes school-wide notices visible to students and teachers.,app/Http/Controllers/NoticeController.php | app/Notice.php | resources/views/notices,Register school users,0.2538,
adityagoyal222__django-lms,file_tree_only,deepseek-v4-pro,2,near_miss_or_partial_workflow,Student,View Course Catalog,Browse available courses and view basic details.,courses/views.py | courses/urls.py | courses/models.py,Create course,0.25,
4jean__lav_sms,readme_only,deepseek-v4-pro,0,readme_overgeneralization,User,Login,Authenticated users log into the system using their credentials to access role-based dashboards.,"readme.md (login screenshot, login credentials)",Update own account,0.2081,
abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,0,readme_overgeneralization,Student,Make Payment,A student can pay school fees using Stripe from their account.,readme.md,View grades,0.2429,
abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,1,readme_overgeneralization,Student,View Payment History,A student can view the history of their payment receipts.,readme.md,View grades,0.25,
